title,rental_date,rating,length,rental_duration,special_features,category_id
"SORORITY QUEEN","2005-07-30 02:09:14",NC-17,184,6,"Trailers,Deleted Scenes",9
"SOUP WISDOM","2005-05-29 20:24:28",R,169,6,"Behind the Scenes",8
"SOUTH WAIT","2005-05-27 11:02:26",R,143,4,"Commentaries,Behind the Scenes",1
"SPARTACUS CHEAPER","2005-07-27 09:16:53",NC-17,52,4,"Deleted Scenes,Behind the Scenes",8
"SPEAKEASY DATE","2005-05-29 05:53:23",PG-13,165,6,"Deleted Scenes,Behind the Scenes",1
"SPEED SUIT","2005-06-21 04:08:43",PG-13,124,7,"Commentaries,Behind the Scenes",16
"SPICE SORORITY","2005-05-30 10:43:38",NC-17,141,5,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes",7
"SPIKING ELEMENT","2005-07-29 18:41:31",G,79,7,"Trailers,Deleted Scenes,Behind the Scenes",4
"SPINAL ROCKY","2005-07-09 08:46:18",PG-13,138,7,"Commentaries,Deleted Scenes",8
"SPIRIT FLINTSTONES","2005-07-09 21:25:20",R,149,7,"Commentaries,Deleted Scenes",11
"SPIRITED CASUALTIES","2005-06-16 19:47:18",PG-13,138,5,"Commentaries,Behind the Scenes",14
"SPLASH GUMP","2005-06-17 00:07:07",PG,175,5,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes",8
"SPLENDOR PATTON","2005-08-01 15:27:05",R,134,5,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes",3
"SPOILERS HELLFIGHTERS","2005-08-01 20:32:42",G,151,4,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes",6
"SPY MILE","2005-08-01 11:53:17",PG-13,112,6,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes",10
"SQUAD FISH","2005-07-08 21:37:31",PG,136,3,"Commentaries,Deleted Scenes,Behind the Scenes",15
"STAGE WORLD","2005-07-27 15:56:15",PG,85,4,"Commentaries,Behind the Scenes",5
"STAGECOACH ARMAGEDDON","2005-06-21 12:08:18",R,112,5,"Trailers,Deleted Scenes",1
"STALLION SUNDANCE","2005-07-30 16:52:43",PG-13,130,5,"Deleted Scenes,Behind the Scenes",14
"STAMPEDE DISTURBING","2005-06-16 03:13:09",R,75,5,"Commentaries,Deleted Scenes,Behind the Scenes",10
"STAR OPERATION","2005-07-06 03:48:44",PG,181,5,Commentaries,15
"STATE WASTELAND","2005-06-15 10:23:08",NC-17,113,4,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes",10
"STEEL SANTA","2005-07-06 10:01:23",NC-17,143,4,"Commentaries,Deleted Scenes",4
"STEERS ARMAGEDDON","2005-06-17 05:40:52",PG,140,6,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes",15
"STEPMOM DREAM","2005-07-11 23:05:49",NC-17,48,7,"Deleted Scenes,Behind the Scenes",9
"STING PERSONAL","2005-06-21 06:55:36",NC-17,93,3,"Commentaries,Deleted Scenes,Behind the Scenes",13
"STOCK GLASS","2005-07-08 16:45:16",PG,160,7,Commentaries,13
"STONE FIRE","2005-05-26 20:35:19",G,94,3,Trailers,16
"STORM HAPPINESS","2005-07-10 18:14:22",NC-17,57,6,"Trailers,Commentaries,Behind the Scenes",2
"STORY SIDE","2005-07-08 11:37:21",R,163,7,"Trailers,Behind the Scenes",1
"STRAIGHT HOURS","2005-07-29 07:13:33",R,151,3,"Commentaries,Behind the Scenes",15
"STRANGELOVE DESIRE","2005-07-27 07:10:40",NC-17,103,4,"Trailers,Commentaries,Deleted Scenes",3
"STRANGER STRANGERS","2005-05-29 18:10:24",G,139,3,"Commentaries,Deleted Scenes",3
"STRANGERS GRAFFITI","2005-05-29 22:50:25",R,119,4,"Trailers,Behind the Scenes",11
"STREAK RIDGEMONT","2005-06-19 03:05:38",PG-13,132,7,"Trailers,Behind the Scenes",6
"STREETCAR INTENTIONS","2005-07-10 21:35:12",R,73,5,Commentaries,11
"STRICTLY SCARFACE","2005-06-16 12:50:01",PG-13,144,3,"Commentaries,Deleted Scenes,Behind the Scenes",5
"SUBMARINE BED","2005-07-29 22:56:07",R,127,5,Trailers,5
"SUGAR WONKA","2005-08-02 09:52:44",PG,114,3,"Trailers,Commentaries,Behind the Scenes",2
"SUICIDES SILENCE",NULL,G,93,4,"Deleted Scenes",14
"SUIT WALLS","2005-07-12 00:45:17",R,111,3,Commentaries,10
"SUMMER SCARFACE","2005-06-17 18:42:09",G,53,5,"Deleted Scenes,Behind the Scenes",4
"SUN CONFESSIONS","2005-07-11 15:06:20",R,141,5,"Trailers,Behind the Scenes",14
"SUNDANCE INVASION","2005-05-31 19:19:36",NC-17,92,5,"Commentaries,Behind the Scenes",3
"SUNRISE LEAGUE","2005-05-30 02:01:21",PG-13,135,3,"Behind the Scenes",2
"SUNSET RACER","2005-05-31 03:05:07",NC-17,48,6,"Commentaries,Behind the Scenes",8
"SUPER WYOMING","2005-07-30 08:56:36",PG,58,5,"Trailers,Commentaries,Behind the Scenes",8
"SUPERFLY TRIP","2005-07-10 23:47:18",PG,114,5,"Commentaries,Behind the Scenes",16
"SUSPECTS QUILLS","2005-06-21 11:29:23",PG,47,4,Trailers,1
"SWARM GOLD","2005-07-09 20:07:09",PG-13,123,4,"Trailers,Commentaries",11
"SWEDEN SHINING","2005-05-30 03:14:59",PG,176,6,"Deleted Scenes,Behind the Scenes",5
"SWEET BROTHERHOOD","2005-05-26 05:42:37",R,185,3,"Deleted Scenes",16
"SWEETHEARTS SUSPECTS","2005-07-10 15:27:04",G,108,3,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes",3
"TADPOLE PARK",NULL,PG,155,6,"Trailers,Commentaries",4
"TALENTED HOMICIDE","2005-07-10 17:36:27",PG,173,6,"Commentaries,Deleted Scenes,Behind the Scenes",15
"TARZAN VIDEOTAPE","2005-06-21 17:18:01",PG-13,91,3,Trailers,11
"TAXI KICK","2005-06-17 13:13:27",PG-13,64,4,"Commentaries,Deleted Scenes",12
"TEEN APOLLO","2005-05-25 09:47:31",G,74,3,"Trailers,Deleted Scenes,Behind the Scenes",16
"TELEGRAPH VOYAGE","2005-06-17 18:09:04",PG,148,3,Commentaries,12
"TELEMARK HEARTBREAKERS","2005-07-10 05:56:40",PG-13,152,6,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes",2
"TEMPLE ATTRACTION","2005-07-30 08:19:47",PG,71,5,"Commentaries,Deleted Scenes",11
"TENENBAUMS COMMAND","2005-05-30 11:35:06",PG-13,99,4,"Trailers,Commentaries",7
"TEQUILA PAST","2005-07-08 17:04:06",PG,53,6,"Commentaries,Behind the Scenes",3
"TERMINATOR CLUB","2005-07-31 09:10:20",R,88,5,"Trailers,Deleted Scenes,Behind the Scenes",12
"TEXAS WATCH","2005-07-12 10:41:34",NC-17,179,7,Trailers,11
"THEORY MERMAID","2005-07-31 05:46:03",PG-13,184,5,"Deleted Scenes,Behind the Scenes",2
"THIEF PELICAN","2005-05-25 11:35:18",PG-13,135,5,"Deleted Scenes,Behind the Scenes",2
"THIN SAGEBRUSH","2005-06-15 15:28:23",PG-13,53,5,"Behind the Scenes",6
"TIES HUNGER","2005-08-02 22:18:13",R,111,3,"Deleted Scenes",3
"TIGHTS DAWN","2005-06-19 13:36:06",R,172,5,"Trailers,Behind the Scenes",15
"TIMBERLAND SKY","2005-05-28 03:18:02",G,69,3,Commentaries,4
"TITANIC BOONDOCK","2005-07-31 13:02:55",R,104,3,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes",2
"TITANS JERK","2005-07-08 20:56:00",PG,91,4,"Behind the Scenes",14
"TOMATOES HELLFIGHTERS","2005-07-07 06:51:12",PG,68,6,"Behind the Scenes",16
"TOMORROW HUSTLER","2005-06-18 02:29:10",R,142,3,Commentaries,4
"TOOTSIE PILOT","2005-06-18 22:12:09",PG,157,3,"Commentaries,Deleted Scenes,Behind the Scenes",3
"TORQUE BOUND","2005-05-31 16:15:31",G,179,3,"Trailers,Commentaries",7
"TOURIST PELICAN","2005-06-19 06:51:32",PG-13,152,4,"Deleted Scenes",15
"TOWERS HURRICANE","2005-06-18 16:33:48",NC-17,144,7,"Commentaries,Behind the Scenes",4
"TOWN ARK","2005-07-29 08:36:53",R,136,6,"Behind the Scenes",9
"TRACY CIDER","2005-07-30 13:58:41",G,142,3,"Trailers,Commentaries,Behind the Scenes",2
"TRADING PINOCCHIO","2005-07-07 04:34:38",PG,170,6,"Trailers,Deleted Scenes,Behind the Scenes",15
"TRAFFIC HOBBIT","2005-08-01 11:48:51",G,139,5,"Trailers,Commentaries",16
"TRAIN BUNCH","2005-08-02 22:18:24",R,71,3,"Trailers,Deleted Scenes",11
"TRAINSPOTTING STRANGERS","2005-05-28 08:38:43",PG-13,132,7,Trailers,5
"TRAMP OTHERS","2005-06-19 01:20:00",PG,171,4,"Deleted Scenes",5
"TRANSLATION SUMMER","2005-05-30 23:25:14",PG-13,168,4,Trailers,7
"TRAP GUYS","2005-07-11 23:27:52",G,110,3,"Commentaries,Behind the Scenes",9
"TREASURE COMMAND",NULL,PG-13,102,3,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes",11
"TREATMENT JEKYLL","2005-05-28 02:40:50",PG,87,3,"Trailers,Deleted Scenes,Behind the Scenes",7
"TRIP NEWTON","2005-05-26 10:44:04",PG-13,64,7,"Commentaries,Deleted Scenes",1
"TROJAN TOMORROW","2005-08-02 06:23:39",PG,52,3,"Commentaries,Deleted Scenes",14
"TROOPERS METAL","2005-07-31 19:07:43",R,115,3,"Deleted Scenes,Behind the Scenes",13
"TROUBLE DATE","2005-06-18 00:29:51",PG,61,6,"Trailers,Commentaries,Behind the Scenes",16
"TRUMAN CRAZY","2005-07-31 08:24:41",G,92,7,"Trailers,Commentaries",1
"TURN STAR","2005-05-28 17:47:58",G,80,3,"Commentaries,Behind the Scenes",2
"TUXEDO MILE","2005-08-01 08:53:04",R,152,3,"Commentaries,Deleted Scenes,Behind the Scenes",15
"TWISTED PIRATES","2005-07-29 13:25:02",PG,152,4,"Trailers,Commentaries,Deleted Scenes",3
"TYCOON GATHERING","2005-07-09 13:55:45",G,82,3,"Trailers,Commentaries,Deleted Scenes",10
"UNBREAKABLE KARATE","2005-06-19 12:12:23",G,62,3,"Deleted Scenes,Behind the Scenes",13
"UNCUT SUICIDES","2005-07-29 14:05:12",PG-13,172,7,"Trailers,Commentaries,Behind the Scenes",12
"UNDEFEATED DALMATIONS","2005-07-29 01:23:23",PG-13,107,7,Commentaries,11
"UNFAITHFUL KILL","2005-06-15 07:21:21",R,78,7,"Commentaries,Deleted Scenes",7
"UNFORGIVEN ZOOLANDER","2005-07-29 01:11:00",PG,129,7,"Trailers,Commentaries,Behind the Scenes",14
"UNITED PILOT","2005-05-28 15:03:44",R,164,3,"Trailers,Deleted Scenes",6
"UNTOUCHABLES SUNRISE","2005-07-11 21:09:31",NC-17,120,5,"Trailers,Deleted Scenes",6
"UPRISING UPTOWN","2005-05-26 15:46:56",NC-17,174,6,"Trailers,Behind the Scenes",1
"UPTOWN YOUNG","2005-05-30 05:49:13",PG,84,5,Commentaries,3
"USUAL UNTOUCHABLES","2005-07-12 12:53:11",PG-13,128,5,"Trailers,Commentaries,Behind the Scenes",9
"VACATION BOONDOCK","2005-05-29 09:25:10",R,145,4,Commentaries,14
"VALENTINE VANISHING","2005-05-25 19:30:46",PG-13,48,7,"Trailers,Behind the Scenes",16
"VALLEY PACKER","2005-05-25 17:46:33",G,73,3,"Commentaries,Deleted Scenes",5
"VAMPIRE WHALE","2005-05-26 10:18:27",NC-17,126,4,"Trailers,Commentaries",13
"VANILLA DAY","2005-07-26 23:51:27",NC-17,122,7,"Deleted Scenes,Behind the Scenes",10
"VANISHED GARDEN","2005-07-09 19:18:11",R,142,5,"Trailers,Commentaries,Deleted Scenes",13
"VANISHING ROCKY","2005-07-10 11:21:21",NC-17,123,3,"Trailers,Commentaries,Behind the Scenes",12
"VARSITY TRIP","2005-06-15 23:58:53",NC-17,85,7,"Commentaries,Deleted Scenes",13
"VELVET TERMINATOR","2005-05-28 18:59:12",R,173,3,"Behind the Scenes",5
"VERTIGO NORTHWEST","2005-07-29 18:34:33",R,90,4,"Commentaries,Behind the Scenes",5
"VICTORY ACADEMY","2005-07-06 00:57:29",PG-13,64,6,"Trailers,Behind the Scenes",15
"VIDEOTAPE ARSENIC","2005-05-27 17:21:04",NC-17,145,4,"Commentaries,Deleted Scenes,Behind the Scenes",10
"VIETNAM SMOOCHY","2005-06-21 08:42:37",PG-13,174,7,"Deleted Scenes,Behind the Scenes",7
"VILLAIN DESPERATE",NULL,PG-13,76,4,"Trailers,Commentaries",6
"VIRGIN DAISY","2005-07-29 16:15:26",PG-13,179,6,"Trailers,Behind the Scenes",7
"VIRGINIAN PLUTO","2005-06-20 21:20:51",R,164,5,"Deleted Scenes",6
"VIRTUAL SPOILERS","2005-06-19 10:50:02",NC-17,144,3,"Commentaries,Deleted Scenes",8
"VISION TORQUE","2005-07-29 07:33:07",PG-13,59,5,"Commentaries,Deleted Scenes",9
"VOICE PEACH","2005-07-11 23:10:50",PG-13,139,6,"Commentaries,Behind the Scenes",13
"VOLCANO TEXAS","2005-07-30 00:06:32",NC-17,157,6,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes",10
"VOLUME HOUSE",NULL,PG,132,7,Commentaries,4
"VOYAGE LEGALLY","2005-07-10 07:09:21",PG-13,78,6,"Commentaries,Behind the Scenes",4
"WAGON JAWS","2005-06-21 04:55:49",PG,152,7,"Deleted Scenes,Behind the Scenes",6
"WAIT CIDER","2005-05-27 05:48:19",PG-13,112,3,Trailers,2
"WAKE JAWS",NULL,G,73,7,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes",13
"WALLS ARTIST",NULL,PG,135,7,"Trailers,Behind the Scenes",3
"WANDA CHAMBER","2005-06-16 07:53:47",PG-13,107,7,"Commentaries,Deleted Scenes,Behind the Scenes",10
"WAR NOTTING","2005-07-29 20:29:34",G,80,7,"Deleted Scenes,Behind the Scenes",9
"WARDROBE PHANTOM","2005-05-28 19:45:40",G,178,6,"Trailers,Commentaries",7
"WARLOCK WEREWOLF","2005-07-06 03:40:36",G,83,6,"Commentaries,Behind the Scenes",3
"WARS PLUTO","2005-07-09 18:10:52",G,128,5,"Commentaries,Behind the Scenes",6
"WASH HEAVENLY","2005-05-26 09:24:26",R,161,7,Commentaries,9
"WASTELAND DIVINE","2005-07-31 14:00:53",PG,85,7,"Trailers,Deleted Scenes,Behind the Scenes",4
"WATCH TRACY","2005-07-28 18:06:46",PG,78,5,"Trailers,Deleted Scenes,Behind the Scenes",2
"WATERFRONT DELIVERANCE","2005-07-30 17:11:58",G,61,4,"Behind the Scenes",1
"WATERSHIP FRONTIER","2005-07-27 04:11:40",G,112,6,Commentaries,11
"WEDDING APOLLO","2005-07-09 15:38:09",PG,70,3,Trailers,6
"WEEKEND PERSONAL","2005-06-20 12:02:05",R,134,5,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes",14
"WEREWOLF LOLA","2005-05-30 10:38:37",G,79,6,"Trailers,Behind the Scenes",1
"WEST LION","2005-08-01 17:09:59",G,159,4,Trailers,7
"WESTWARD SEABISCUIT","2005-06-16 09:10:06",NC-17,52,7,"Commentaries,Deleted Scenes",4
"WHALE BIKINI","2005-05-25 02:40:21",PG-13,109,4,"Commentaries,Deleted Scenes,Behind the Scenes",9
"WHISPERER GIANT","2005-05-28 15:50:07",PG-13,59,4,"Trailers,Deleted Scenes",14
"WIFE TURN","2005-05-28 10:56:09",NC-17,183,3,"Deleted Scenes,Behind the Scenes",6
"WILD APOLLO","2005-07-28 15:43:32",R,181,4,"Trailers,Commentaries,Deleted Scenes,Behind the Scenes",13
"WILLOW TRACY","2005-07-29 21:28:19",R,137,6,"Trailers,Commentaries,Behind the Scenes",8
"WIND PHANTOM","2005-05-25 04:51:46",R,111,6,"Commentaries,Deleted Scenes",10
"WINDOW SIDE","2005-06-16 04:53:21",R,85,3,"Deleted Scenes,Behind the Scenes",16
"WISDOM WORKER","2005-07-28 08:28:51",R,98,3,"Deleted Scenes,Behind the Scenes",5
"WITCHES PANIC","2005-05-30 15:36:57",NC-17,100,6,"Commentaries,Behind the Scenes",7
"WIZARD COLDBLOODED","2005-06-16 07:48:50",PG,75,4,"Commentaries,Deleted Scenes,Behind the Scenes",12
"WOLVES DESIRE","2005-06-20 20:27:18",NC-17,55,7,"Behind the Scenes",16
"WOMEN DORADO","2005-07-07 15:36:44",R,126,4,"Deleted Scenes,Behind the Scenes",1
"WON DARES","2005-07-12 16:06:00",PG,105,7,"Behind the Scenes",12
"WONDERFUL DROP","2005-06-18 08:51:29",NC-17,126,3,Commentaries,9
"WONDERLAND CHRISTMAS","2005-07-06 14:00:41",PG,111,4,Commentaries,14
"WONKA SEA","2005-06-18 23:48:47",NC-17,85,6,"Trailers,Commentaries",2
"WORDS HUNTER","2005-07-12 03:11:23",PG,116,3,"Trailers,Commentaries,Deleted Scenes",12
"WORKER TARZAN","2005-07-30 12:43:24",R,139,7,"Trailers,Commentaries,Behind the Scenes",16
"WORKING MICROCOSMOS","2005-06-15 06:21:30",R,74,4,"Commentaries,Deleted Scenes",16
"WORLD LEATHERNECKS","2005-06-16 03:31:39",PG-13,171,3,"Trailers,Behind the Scenes",11
"WORST BANGER","2005-07-30 09:24:18",PG,185,4,"Deleted Scenes,Behind the Scenes",1
"WRATH MILE","2005-07-10 04:00:31",NC-17,176,5,"Trailers,Commentaries",6
"WRONG BEHAVIOR","2005-07-29 17:31:40",PG-13,178,6,"Trailers,Behind the Scenes",3
"WYOMING STORM","2005-05-29 20:14:34",PG-13,100,6,"Deleted Scenes",13
"YENTL IDAHO","2005-07-07 19:21:19",R,86,5,"Trailers,Commentaries,Deleted Scenes",11
"YOUNG LANGUAGE","2005-07-08 23:51:26",G,183,6,"Trailers,Behind the Scenes",6
"YOUTH KICK","2005-07-27 10:21:15",NC-17,179,4,"Trailers,Behind the Scenes",12
"ZHIVAGO CORE","2005-06-17 03:19:20",NC-17,105,6,"Deleted Scenes",11
"ZOOLANDER FICTION","2005-07-06 11:40:27",R,101,5,"Trailers,Deleted Scenes",3
"ZORRO ARK","2005-07-12 21:46:33",NC-17,50,3,"Trailers,Commentaries,Behind the Scenes",5
